Room temp neff,2.52672,Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistance per bridge (kOhm),5.49,7,,,,8,,,,9,,,,10,,,,12,,,,15,,,,18,,,,20,,,,23,,,,24,,,,25,,,,100,,,,,,,,,,,,,,
Voltage (V),Power (mW),neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,,,,,,,,,,,
1.1,3.306010929,2.52774,2.53135,0.206737065,0.938424128,2.52749,2.53131,0.156066216,0.930316792,2.52732,2.53146,0.121610038,0.960719302,2.52719,2.5314,0.095261197,0.948558298,2.52704,2.53154,0.064858687,0.976933974,2.5269,2.53136,0.036483011,0.940450962,2.52683,2.53157,0.022295174,0.983014476,2.5268,2.53153,0.016214672,0.97490714,2.52678,2.53156,0.012161004,0.980987642,2.52677,2.53154,0.01013417,0.976933974,2.52676,2.53151,0.008107336,0.970853472,2.52672,2.53152,0,0.972880306,,,,,,,,,,,
1.2,3.93442623,2.52792,2.53216,0.243220076,1.10259768,2.52763,2.53212,0.184441891,1.094490344,2.52743,2.53229,0.143905212,1.128946521,2.52727,2.53222,0.111475868,1.114758684,2.5271,2.53239,0.077019691,1.149214861,2.52693,2.53217,0.042563513,1.104624514,2.52685,2.53242,0.026348842,1.155295363,2.52682,2.53238,0.02026834,1.147188027,2.52679,2.53241,0.014187838,1.153268529,2.52678,2.53239,0.012161004,1.149214861,2.52677,2.53235,0.01013417,1.141107525,2.52672,2.53236,0,1.143134359,,,,,,,,,,,
1.3,4.617486339,2.52811,2.53302,0.281729922,1.276905401,2.52777,2.53297,0.212817567,1.266771231,2.52754,2.53317,0.166200386,1.307307911,2.52736,2.53309,0.129717374,1.291093239,2.52716,2.53328,0.089180695,1.329603084,2.52697,2.53303,0.050670849,1.278932235,2.52687,2.53332,0.03040251,1.33771042,2.52683,2.53327,0.022295174,1.32757625,2.5268,2.53331,0.016214672,1.335683586,2.52679,2.53328,0.014187838,1.329603084,2.52678,2.53323,0.012161004,1.319468915,2.52672,2.53325,0,1.323522582,,,,,,,,,,,
1.4,5.355191257,2.52831,2.53393,0.322266601,1.461347292,2.52792,2.53387,0.243220076,1.449186289,2.52766,2.5341,0.190522393,1.49580347,2.52745,2.53401,0.14795888,1.477561964,2.52722,2.53422,0.101341699,1.520125478,2.527,2.53394,0.056751351,1.463374126,2.52689,2.53427,0.034456177,1.530259647,2.52685,2.53421,0.026348842,1.518098644,2.52681,2.53425,0.018241506,1.526205979,2.5268,2.53423,0.016214672,1.522152312,2.52679,2.53417,0.014187838,1.509991308,2.52672,2.53419,0,1.514044976,,,,,,,,,,,
1.5,6.147540984,2.52852,2.53488,0.364830115,1.65389652,2.52808,2.53481,0.27564942,1.639708682,2.52778,2.53507,0.214844401,1.692406365,2.52755,2.53497,0.16822722,1.672138025,2.52728,2.5352,0.113502702,1.718755207,2.52704,2.53489,0.064858687,1.655923354,2.52692,2.53526,0.040536679,1.73091621,2.52687,2.53519,0.03040251,1.716728373,2.52682,2.53524,0.02026834,1.726862542,2.52681,2.53521,0.018241506,1.720782041,2.5268,2.53515,0.016214672,1.708621037,2.52672,2.53518,0,1.714701539,,,,,,,,,,,
1.6,6.994535519,2.52874,2.53587,0.409420462,1.854553083,2.52824,2.53579,0.308078763,1.838338411,2.52791,2.53608,0.241193242,1.897116596,2.52765,2.53597,0.188495559,1.874821422,2.52735,2.53623,0.12769054,1.927519106,2.52708,2.53588,0.072966023,1.856579917,2.52694,2.5363,0.044590347,1.941706943,2.52688,2.53622,0.032429344,1.925492272,2.52683,2.53626,0.022295174,1.933599607,2.52682,2.53624,0.02026834,1.929545939,2.5268,2.53616,0.016214672,1.913331268,2.52672,2.5362,0,1.921438604,,,,,,,,,,,
1.7,7.896174863,2.52896,2.5369,0.454010809,2.063316982,2.52841,2.53681,0.342534941,2.045075476,2.52805,2.53712,0.269568918,2.107907329,2.52776,2.537,0.210790733,2.083585321,2.52742,2.53729,0.141878378,2.142363506,2.52712,2.5369,0.081073359,2.063316982,2.52697,2.53736,0.050670849,2.156551344,2.5269,2.53727,0.036483011,2.138309838,2.52684,2.53733,0.024322008,2.150470842,2.52683,2.5373,0.022295174,2.14439034,2.52681,2.53721,0.018241506,2.126148835,2.52672,2.53725,0,2.13425617,,,,,,,,,,,
1.8,8.852459016,2.5292,2.53795,0.502654825,2.276134548,2.52859,2.53786,0.379017952,2.257893043,2.52818,2.5382,0.29591776,2.326805398,2.52786,2.53807,0.231059073,2.300456556,2.5275,2.53838,0.15809305,2.363288409,2.52716,2.53796,0.089180695,2.278161382,2.52699,2.53846,0.054724517,2.379503081,2.52692,2.53837,0.040536679,2.361261575,2.52685,2.53842,0.026348842,2.371395745,2.52684,2.53839,0.024322008,2.365315243,2.52682,2.5383,0.02026834,2.347073737,2.52672,2.53835,0,2.357207907,,,,,,,,,,,
1.9,9.863387978,2.52944,2.53904,0.55129884,2.497059451,2.52877,2.53893,0.415500964,2.474764277,2.52832,2.5393,0.324293435,2.549757134,2.52797,2.53917,0.253354246,2.523408293,2.52757,2.53949,0.172280888,2.58826698,2.5272,2.53904,0.097288031,2.497059451,2.52702,2.53959,0.060805019,2.608535319,2.52694,2.53948,0.044590347,2.586240146,2.52687,2.53954,0.03040251,2.59840115,2.52685,2.53952,0.026348842,2.594347482,2.52683,2.53941,0.022295174,2.572052308,2.52672,2.53946,0,2.582186478,,,,,,,,,,,
2,10.92896175,2.52968,2.54015,0.599942855,2.722038022,2.52896,2.54003,0.454010809,2.697716014,2.52847,2.54043,0.354695945,2.778789373,2.52809,2.54029,0.277676254,2.750413697,2.52765,2.54064,0.188495559,2.821352886,2.52725,2.54015,0.1074222,2.722038022,2.52705,2.54075,0.066885521,2.84364806,2.52696,2.54063,0.048644015,2.819326052,2.52688,2.54069,0.032429344,2.831487056,2.52686,2.54067,0.028375676,2.827433388,2.52684,2.54055,0.024322008,2.803111381,2.52672,2.54061,0,2.815272384,,,,,,,,,,,
2.1,12.04918033,2.52993,2.54129,0.650613704,2.953097094,2.52914,2.54116,0.490493821,2.926748253,2.52862,2.54158,0.385098454,3.01187528,2.5282,2.54143,0.299971428,2.98147277,2.52772,2.54181,0.202683397,3.058492461,2.52729,2.54129,0.115529536,2.953097094,2.52707,2.54193,0.070939189,3.082814468,2.52698,2.5418,0.052697683,3.056465627,2.52689,2.54186,0.034456177,3.068626631,2.52687,2.54184,0.03040251,3.064572963,2.52685,2.54171,0.026348842,3.038224121,2.52672,2.54178,0,3.052411959,,,,,,,,,,,
2.2,13.22404372,2.53019,2.54245,0.703311388,3.188209835,2.52934,2.54231,0.5310305,3.159834159,2.52877,2.54276,0.415500964,3.251041688,2.52832,2.5426,0.324293435,3.218612344,2.5278,2.543,0.218898069,3.299685703,2.52733,2.54244,0.123636872,3.186183001,2.5271,2.54313,0.077019691,3.326034545,2.527,2.54299,0.056751351,3.297658869,2.52691,2.54306,0.038509845,3.311846707,2.52688,2.54303,0.032429344,3.305766205,2.52687,2.54289,0.03040251,3.27739053,2.52672,2.54297,0,3.293605201,,,,,,,,,,,
2.3,14.45355191,2.53045,2.54362,0.756009071,3.425349409,2.52953,2.54347,0.569540346,3.3949469,2.52892,2.54395,0.445903473,3.49223493,2.52844,2.54379,0.348615443,3.459805587,2.52788,2.5442,0.235112741,3.54290578,2.52738,2.54361,0.133771042,3.423322575,2.52713,2.54435,0.083100193,3.573308289,2.52702,2.5442,0.060805019,3.54290578,2.52692,2.54427,0.040536679,3.557093617,2.5269,2.54424,0.036483011,3.551013116,2.52688,2.54409,0.032429344,3.520610606,2.52672,2.54418,0,3.538852112,,,,,,,,,,,
2.4,15.73770492,2.53071,2.54481,0.808706754,3.666542652,2.52973,2.54465,0.610077025,3.634113308,2.52907,2.54516,0.476305983,3.737481841,2.52856,2.54499,0.372937451,3.703025663,2.52797,2.54542,0.253354246,3.790179524,2.52743,2.5448,0.143905212,3.664515818,2.52716,2.54558,0.089180695,3.822608868,2.52704,2.54542,0.064858687,3.790179524,2.52694,2.54549,0.044590347,3.804367362,2.52691,2.54547,0.038509845,3.800313694,2.52689,2.54531,0.034456177,3.76788435,2.52672,2.5454,0,3.786125856,,,,,,,,,,,
2.5,17.07650273,2.53097,2.54602,0.861404437,3.911789562,2.52993,2.54585,0.650613704,3.877333385,2.52923,2.54638,0.508735327,3.984755585,2.52868,2.54621,0.397259458,3.950299408,2.52805,2.54666,0.269568918,4.041506936,2.52747,2.546,0.152012548,3.907735894,2.52719,2.54683,0.095261197,4.075963114,2.52706,2.54666,0.068912355,4.041506936,2.52695,2.54673,0.046617181,4.055694774,2.52692,2.54672,0.040536679,4.05366794,2.5269,2.54654,0.036483011,4.017184929,2.52672,2.54665,0,4.039480102,,,,,,,,,,,
2.6,18.46994536,2.53124,2.54724,0.916128955,4.159063307,2.53013,2.54705,0.691150384,4.120553461,2.52939,2.54762,0.54116467,4.236082997,2.52881,2.54744,0.4236083,4.199599986,2.52813,2.54791,0.28578359,4.294861183,2.52752,2.54722,0.162146718,4.155009639,2.52722,2.5481,0.101341699,4.333371028,2.52709,2.54791,0.074992857,4.294861183,2.52697,2.54799,0.050670849,4.311075854,2.52693,2.54797,0.042563513,4.307022186,2.52691,2.54778,0.038509845,4.268512341,2.52672,2.5479,0,4.292834349,,,,,,,,,,,
2.7,19.91803279,2.53152,2.54847,0.972880306,4.408363885,2.53034,2.54827,0.733713897,4.367827205,2.52955,2.54887,0.573594014,4.489437244,2.52893,2.54868,0.447930307,4.450927398,2.52822,2.54917,0.304025096,4.550242263,2.52757,2.54845,0.172280888,4.404310217,2.52725,2.54937,0.1074222,4.590778942,2.52711,2.54917,0.079046525,4.550242263,2.52698,2.54925,0.052697683,4.566456935,2.52695,2.54924,0.046617181,4.564430101,2.52692,2.54904,0.040536679,4.523893421,2.52672,2.54916,0,4.548215429,,,,,,,,,,,
2.8,21.42076503,2.53179,2.54972,1.027604823,4.661718131,2.53055,2.5495,0.776277411,4.617127784,2.52971,2.55012,0.606023357,4.74279149,2.52906,2.54993,0.474279149,4.704281645,2.5283,2.55044,0.320239767,4.807650177,2.52762,2.54968,0.182415057,4.653610795,2.52728,2.55066,0.113502702,4.852240524,2.52713,2.55044,0.083100193,4.807650177,2.527,2.55052,0.056751351,4.823864849,2.52696,2.55052,0.048644015,4.823864849,2.52693,2.5503,0.042563513,4.779274501,2.52672,2.55044,0,4.807650177,,,,,,,,,,,
2.9,22.97814208,2.53206,2.55097,1.08232934,4.915072377,2.53075,2.55074,0.81681409,4.868455196,2.52987,2.55139,0.638452701,5.000199404,2.52919,2.55119,0.500627991,4.959662725,2.52839,2.55172,0.338481273,5.067084925,2.52766,2.5507,0.190522393,4.86034786,2.52731,2.55195,0.119583204,5.113702106,2.52715,2.55172,0.087153861,5.067084925,2.52701,2.5518,0.058778185,5.083299597,2.52697,2.5518,0.050670849,5.083299597,2.52694,2.55157,0.044590347,5.036682416,2.52672,2.55172,0,5.067084925,,,,,,,,,,,
3,24.59016393,2.53234,2.55223,1.139080691,5.170453458,2.53096,2.55198,0.859377603,5.119782608,2.53003,2.55266,0.670882044,5.257607318,2.52931,2.55246,0.524949998,5.217070639,2.52847,2.553,0.354695945,5.326519673,2.52771,2.55194,0.200656563,5.111675272,2.52734,2.55325,0.125663706,5.377190523,2.52717,2.55301,0.091207529,5.328546507,2.52702,2.55285,0.060805019,5.296117164,2.52699,2.55309,0.054724517,5.344761179,2.52696,2.55285,0.048644015,5.296117164,2.52672,2.55301,0,5.328546507,,,,,,,,,,,
